,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_43,0.10112359550561797,0.13095238095238096,0.1111111111111111,0.1111111111111111,0.08641975308641975,0.11224489795918367,0.09090909090909091,0.10526315789473684,0.1,0.0898876404494382,0.06756756756756757,0.0851063829787234,0.11688311688311688,0.10309278350515463
Gen_44,0.09090909090909091,0.13414634146341464,0.1282051282051282,0.10204081632653061,0.10256410256410256,0.10309278350515463,0.09302325581395349,0.10714285714285714,0.12790697674418605,0.14457831325301204,0.1,0.12359550561797752,0.10526315789473684,0.09375
Gen_45,0.06382978723404255,0.11494252873563218,0.08235294117647059,0.06666666666666667,0.058823529411764705,0.0673076923076923,0.06521739130434782,0.06666666666666667,0.08602150537634409,0.11235955056179775,0.038461538461538464,0.11827956989247312,0.07317073170731707,0.09
Gen_46,0.0684931506849315,0.08695652173913043,0.09375,0.08433734939759036,0.11475409836065574,0.09876543209876543,0.11764705882352941,0.08163265306122448,0.0821917808219178,0.08450704225352113,0.11320754716981132,0.10810810810810811,0.11864406779661017,0.10126582278481013
Gen_47,0.054945054945054944,0.09411764705882353,0.08641975308641975,0.08,0.08860759493670886,0.09183673469387756,0.09302325581395349,0.11711711711711711,0.10227272727272728,0.10465116279069768,0.0547945205479452,0.06382978723404255,0.06329113924050633,0.10526315789473684
Gen_48,0.10112359550561797,0.15853658536585366,0.1111111111111111,0.14583333333333334,0.1282051282051282,0.13541666666666666,0.11627906976744186,0.09565217391304348,0.07608695652173914,0.11494252873563218,0.11267605633802817,0.10869565217391304,0.11688311688311688,0.09183673469387756
Gen_49,0.09473684210526316,0.08602150537634409,0.12941176470588237,0.10476190476190476,0.175,0.11650485436893204,0.0967741935483871,0.1,0.10526315789473684,0.10752688172043011,0.14864864864864866,0.09090909090909091,0.12195121951219512,0.13
Gen_50,0.05263157894736842,0.10227272727272728,0.10843373493975904,0.08737864077669903,0.0975609756097561,0.09900990099009901,0.07692307692307693,0.11304347826086956,0.12222222222222222,0.13793103448275862,0.05194805194805195,0.08333333333333333,0.07317073170731707,0.11224489795918367
Gen_51,0.05319148936170213,0.09090909090909091,0.07058823529411765,0.07766990291262135,0.08536585365853659,0.0891089108910891,0.07777777777777778,0.10434782608695652,0.0989010989010989,0.10112359550561797,0.03896103896103896,0.061855670103092786,0.06097560975609756,0.10204081632653061
Gen_52,0.11578947368421053,0.10752688172043011,0.10112359550561797,0.14563106796116504,0.09090909090909091,0.14705882352941177,0.09473684210526316,0.13559322033898305,0.11458333333333333,0.11702127659574468,0.0875,0.12244897959183673,0.11904761904761904,0.11650485436893204
Gen_53,0.10309278350515463,0.14285714285714285,0.07608695652173914,0.14423076923076922,0.10227272727272728,0.1346153846153846,0.12903225806451613,0.13445378151260504,0.08,0.1276595744680851,0.060240963855421686,0.07766990291262135,0.11764705882352941,0.13725490196078433
