,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_73,0.04950495049504951,0.10752688172043011,0.06521739130434782,0.06306306306306306,0.07865168539325842,0.06363636363636363,0.07216494845360824,0.072,0.09183673469387756,0.09375,0.06097560975609756,0.0784313725490196,0.056179775280898875,0.13861386138613863
Gen_74,0.0660377358490566,0.1111111111111111,0.08247422680412371,0.08695652173913043,0.09574468085106383,0.08771929824561403,0.0673076923076923,0.11023622047244094,0.07547169811320754,0.09803921568627451,0.06818181818181818,0.09345794392523364,0.06315789473684211,0.12962962962962962
Gen_75,0.09375,0.12087912087912088,0.0898876404494382,0.10377358490566038,0.09195402298850575,0.10476190476190476,0.07291666666666667,0.10833333333333334,0.06,0.09473684210526316,0.08860759493670886,0.07920792079207921,0.08139534883720931,0.12871287128712872
Gen_76,0.07272727272727272,0.09523809523809523,0.0891089108910891,0.09243697478991597,0.125,0.10256410256410256,0.08411214953271028,0.11450381679389313,0.09174311926605505,0.11428571428571428,0.08791208791208792,0.0990990990990991,0.0707070707070707,0.14414414414414414
Gen_77,0.0891089108910891,0.09183673469387756,0.07368421052631578,0.0990990990990991,0.06382978723404255,0.1,0.09090909090909091,0.11290322580645161,0.08823529411764706,0.09,0.05813953488372093,0.09615384615384616,0.07692307692307693,0.10185185185185185
Gen_78,0.045871559633027525,0.09900990099009901,0.0707070707070707,0.06779661016949153,0.08333333333333333,0.07758620689655173,0.06666666666666667,0.06766917293233082,0.06481481481481481,0.10784313725490197,0.04395604395604396,0.102803738317757,0.05154639175257732,0.12844036697247707
Gen_79,0.1,0.102803738317757,0.0761904761904762,0.11764705882352941,0.09900990099009901,0.1282051282051282,0.11214953271028037,0.09558823529411764,0.10909090909090909,0.09090909090909091,0.07368421052631578,0.12612612612612611,0.10101010101010101,0.1206896551724138
Gen_80,0.10344827586206896,0.08139534883720931,0.07317073170731707,0.10204081632653061,0.08860759493670886,0.09183673469387756,0.11904761904761904,0.10714285714285714,0.0898876404494382,0.09195402298850575,0.0547945205479452,0.1111111111111111,0.07692307692307693,0.11702127659574468
Gen_81,0.1,0.13829787234042554,0.10869565217391304,0.0990990990990991,0.08695652173913043,0.1,0.10204081632653061,0.08661417322834646,0.08823529411764706,0.10101010101010101,0.05813953488372093,0.10679611650485436,0.10112359550561797,0.16666666666666666
Gen_82,0.08571428571428572,0.12121212121212122,0.08163265306122448,0.14545454545454545,0.09473684210526316,0.13636363636363635,0.14285714285714285,0.12698412698412698,0.08490566037735849,0.10784313725490197,0.07954545454545454,0.11320754716981132,0.0967741935483871,0.1388888888888889
Gen_83,0.08333333333333333,0.08571428571428572,0.09,0.08403361344537816,0.10309278350515463,0.0847457627118644,0.09523809523809523,0.11538461538461539,0.11320754716981132,0.10476190476190476,0.07692307692307693,0.1,0.07142857142857142,0.125
